===
1001710474	1488927..1489415	-	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710475	1489444..1489899	-	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710476	1490049..1491359	+	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710477	1493440..1495071	+	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710478	1495101..1496534	+	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710479	1496635..1497624	+	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710480	1497646..1500138	+	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710481	1500142..1500609	+	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710482	1500663..1501391	+	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710483	1501442..1502407	+	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710484	1502404..1503549	+	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710485	1503562..1504167	+	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710486	1504164..1504907	+	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710487	1504910..1505212	-	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710488	1505261..1505539	+	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710489	1505557..1505820	-	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710490	1507477..1507890	+	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710491	1507868..1508572	+	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
1001710492	1508628..1509425	+	Fervidobacterium_nodosum_Rt17_B1_GCA_000017545.1	CP000771.1
===
1005526995	1582363..1583160	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005526996	1583129..1583509	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005526997	1583506..1584390	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005526998	1584408..1585490	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005526999	1585490..1587982	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527000	1587969..1589366	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527001	1589633..1590481	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527002	1590554..1591108	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527003	1591615..1593210	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527004	1594354..1595202	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527005	1595199..1595900	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527006	1595878..1596285	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527007	1596420..1596683	+	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527008	1596689..1596967	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527009	1597149..1597385	+	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527010	1597443..1598183	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527011	1598167..1598781	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527012	1598830..1599975	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527013	1599972..1600952	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527014	1601017..1601742	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527015	1601757..1602227	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527016	1602257..1604737	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527017	1604752..1605741	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527018	1605817..1606077	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527018	1606077..1607030	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527019	1607260..1608756	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
1005527020	1612522..1614315	-	Fervidobacterium_pennivorans_DSM_9078_GCA_000235405.3	CP003260.1
===
1002660588	696788..697813	+	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660589	697829..698185	+	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660590	698178..698744	+	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660591	698741..699601	+	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660592	699700..700374	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660593	700698..702521	+	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660594	702543..702812	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660595	703621..704451	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660596	704451..704849	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660597	704849..705793	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660598	705790..708771	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660599	708805..710007	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660600	709997..711076	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660601	711097..711372	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660602	711369..712358	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660603	712366..712863	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660604	712860..715190	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660605	715183..715893	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660606	715905..716843	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002660607	716846..718645	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
===
1002661173	1335574..1336947	+	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002661174	1337170..1338207	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002661175	1338442..1339716	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002661176	1340454..1341377	+	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002661177	1341348..1341656	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002661178	1341656..1342348	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002661179	1342761..1343654	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002661180	1343651..1344052	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002661181	1344045..1345025	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002661182	1345012..1347732	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002661183	1347729..1348802	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002661184	1350415..1351503	+	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002661185	1351816..1352757	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002661186	1353154..1354734	+	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002661187	1355255..1355947	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
1002661188	1356070..1357065	-	Kosmotoga_olearia_TBF_19_5_1_GCA_000023325.1	CP001634.1
===
